angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.05,[190 197 249 249],0.0,0.01,0.03,0.89,0.02,0.0
0.06,[206 202 243 243],0.0,0.03,0.03,0.8,0.07,0.0
0.01,[191 195 242 242],0.0,0.0,0.02,0.96,0.01,0.0
0.01,[189 196 237 237],0.0,0.0,0.02,0.96,0.01,0.0
0.03,[187 197 234 234],0.0,0.01,0.01,0.93,0.01,0.0
0.06,[187 200 235 235],0.0,0.03,0.03,0.84,0.04,0.0
0.03,[182 196 230 230],0.0,0.02,0.06,0.87,0.02,0.0
0.02,[180 203 228 228],0.0,0.01,0.06,0.89,0.02,0.0
0.04,[162 191 234 234],0.0,0.03,0.39,0.48,0.05,0.0
0.01,[192 203 192 192],0.0,0.03,0.03,0.9,0.04,0.0
0.05,[209 189 211 211],0.03,0.05,0.09,0.72,0.07,0.0
0.04,[200 186 223 223],0.0,0.03,0.13,0.76,0.04,0.0
0.02,[187 180 225 225],0.0,0.01,0.13,0.84,0.01,0.0
0.03,[179 182 230 230],0.0,0.01,0.23,0.71,0.01,0.0
0.05,[249 188 207 207],0.0,0.04,0.03,0.85,0.02,0.0
0.03,[184 187 221 221],0.01,0.04,0.03,0.87,0.03,0.0
